instance_class,algorithm,gen0_makespan,final_makespan,improvement_pct,last_improving_generation,total_generations,stagnant_runs,runs
average,GA,99,95.2,3.84,35.6,80,2,5
average,SLGA,99,95.4,3.64,12.2,80,3,5
low_flexibility,GA,133.8,125.4,6.28,32.8,80,2,5
low_flexibility,SLGA,133.8,127.4,4.78,18.6,80,2,5
high_flexibility,GA,70,70,0.0,0,80,5,5
high_flexibility,SLGA,70,70,0.0,0,80,5,5
bottleneck_heavy,GA,91,91,0.0,0,80,5,5
bottleneck_heavy,SLGA,91,90.2,0.88,15.6,80,4,5
balanced,GA,111.4,104.6,6.1,35.6,80,1,5
balanced,SLGA,111.4,105.4,5.39,31.4,80,2,5
high_variance,GA,333.2,308.8,7.32,36.2,80,2,5
high_variance,SLGA,333.2,306,8.16,30.2,80,1,5
machine_advantage,GA,86.4,84.8,1.85,18.2,80,3,5
machine_advantage,SLGA,86.4,82.6,4.4,13,80,3,5
hard,GA,158,158,0.0,0,80,5,5
hard,SLGA,158,157.8,0.13,8.4,80,4,5
extreme,GA,364.8,364.8,0.0,0,80,5,5
extreme,SLGA,364.8,364.4,0.11,1,80,4,5
