instance_class,seed,lower_bound,greedy_makespan,random_best,random_mean,random_worst,distinct_values,dominance_ratio,samples
average,1,51,82,88,132.2,242,101,1.073,1500
average,2,61,109,102,153.7,266,113,0.936,1500
average,3,64,96,106,174.3,268,131,1.104,1500
low_flexibility,1,82,141,129,181.1,282,118,0.915,1500
low_flexibility,2,76,168,142,179.4,272,97,0.845,1500
low_flexibility,3,75,151,130,172.3,249,101,0.861,1500
high_flexibility,1,53,72,116,183.3,282,134,1.611,1500
high_flexibility,2,43,71,110,166.6,249,126,1.549,1500
high_flexibility,3,47,71,115,179.4,280,131,1.62,1500
bottleneck_heavy,1,62,94,125,194.2,300,144,1.33,1500
bottleneck_heavy,2,61,98,103,173.9,257,130,1.051,1500
bottleneck_heavy,3,55,77,102,170.9,261,133,1.325,1500
balanced,1,74,118,104,153.2,226,95,0.881,1500
balanced,2,61,90,81,114.6,178,83,0.9,1500
balanced,3,75,129,108,158.3,238,91,0.837,1500
high_variance,1,183,299,332,484.7,702,295,1.11,1500
high_variance,2,181,346,255,382.4,688,257,0.737,1500
high_variance,3,219,350,349,524.1,827,300,0.997,1500
machine_advantage,1,45,73,116,181.2,293,140,1.589,1500
machine_advantage,2,60,75,94,150.2,239,126,1.253,1500
machine_advantage,3,52,93,108,171.9,268,132,1.161,1500
hard,1,104,153,220,348.4,546,243,1.438,1500
hard,2,99,150,210,334.9,516,233,1.4,1500
hard,3,95,148,246,371.7,578,248,1.662,1500
extreme,1,158,304,1130,2006.4,3312,853,3.717,1500
extreme,2,243,289,1147,1990.5,3115,833,3.969,1500
extreme,3,217,321,1398,2309.0,4123,888,4.355,1500
