algorithm,instance_class,seed,generation,best_makespan
GA,average,1,0,82
GA,average,1,1,82
GA,average,1,2,82
GA,average,1,3,82
GA,average,1,4,82
GA,average,1,5,82
GA,average,1,6,82
GA,average,1,7,82
GA,average,1,8,82
GA,average,1,9,82
GA,average,1,10,82
GA,average,1,11,82
GA,average,1,12,82
GA,average,1,13,82
GA,average,1,14,82
GA,average,1,15,82
GA,average,1,16,82
GA,average,1,17,82
GA,average,1,18,82
GA,average,1,19,82
GA,average,1,20,82
GA,average,1,21,82
GA,average,1,22,82
GA,average,1,23,82
GA,average,1,24,82
GA,average,1,25,82
GA,average,1,26,82
GA,average,1,27,82
GA,average,1,28,82
GA,average,1,29,82
GA,average,1,30,82
GA,average,1,31,82
GA,average,1,32,82
GA,average,1,33,82
GA,average,1,34,82
GA,average,1,35,82
GA,average,1,36,82
GA,average,1,37,82
GA,average,1,38,82
GA,average,1,39,82
GA,average,1,40,82
GA,average,1,41,82
GA,average,1,42,82
GA,average,1,43,82
GA,average,1,44,82
GA,average,1,45,82
GA,average,1,46,82
GA,average,1,47,82
GA,average,1,48,82
GA,average,1,49,82
GA,average,1,50,82
GA,average,1,51,82
GA,average,1,52,82
GA,average,1,53,82
GA,average,1,54,82
GA,average,1,55,81
GA,average,1,56,81
GA,average,1,57,81
GA,average,1,58,81
GA,average,1,59,81
GA,average,1,60,81
GA,average,1,61,81
GA,average,1,62,81
GA,average,1,63,81
GA,average,1,64,81
GA,average,1,65,81
GA,average,1,66,81
GA,average,1,67,81
GA,average,1,68,81
GA,average,1,69,81
GA,average,1,70,81
GA,average,1,71,81
GA,average,1,72,81
GA,average,1,73,81
GA,average,1,74,81
GA,average,1,75,81
GA,average,1,76,81
GA,average,1,77,81
GA,average,1,78,81
GA,average,1,79,81
GA,average,1,80,81
SLGA,average,1,0,82
SLGA,average,1,1,82
SLGA,average,1,2,82
SLGA,average,1,3,82
SLGA,average,1,4,82
SLGA,average,1,5,82
SLGA,average,1,6,82
SLGA,average,1,7,82
SLGA,average,1,8,82
SLGA,average,1,9,82
SLGA,average,1,10,82
SLGA,average,1,11,82
SLGA,average,1,12,82
SLGA,average,1,13,82
SLGA,average,1,14,82
SLGA,average,1,15,82
SLGA,average,1,16,82
SLGA,average,1,17,82
SLGA,average,1,18,82
SLGA,average,1,19,82
SLGA,average,1,20,82
SLGA,average,1,21,82
SLGA,average,1,22,82
SLGA,average,1,23,82
SLGA,average,1,24,82
SLGA,average,1,25,82
SLGA,average,1,26,82
SLGA,average,1,27,82
SLGA,average,1,28,82
SLGA,average,1,29,82
SLGA,average,1,30,82
SLGA,average,1,31,82
SLGA,average,1,32,82
SLGA,average,1,33,80
SLGA,average,1,34,80
SLGA,average,1,35,80
SLGA,average,1,36,80
SLGA,average,1,37,80
SLGA,average,1,38,80
SLGA,average,1,39,80
SLGA,average,1,40,80
SLGA,average,1,41,80
SLGA,average,1,42,80
SLGA,average,1,43,80
SLGA,average,1,44,80
SLGA,average,1,45,80
SLGA,average,1,46,80
SLGA,average,1,47,79
SLGA,average,1,48,79
SLGA,average,1,49,79
SLGA,average,1,50,79
SLGA,average,1,51,79
SLGA,average,1,52,79
SLGA,average,1,53,79
SLGA,average,1,54,79
SLGA,average,1,55,79
SLGA,average,1,56,79
SLGA,average,1,57,79
SLGA,average,1,58,79
SLGA,average,1,59,79
SLGA,average,1,60,79
SLGA,average,1,61,79
SLGA,average,1,62,79
SLGA,average,1,63,79
SLGA,average,1,64,79
SLGA,average,1,65,79
SLGA,average,1,66,79
SLGA,average,1,67,79
SLGA,average,1,68,79
SLGA,average,1,69,79
SLGA,average,1,70,79
SLGA,average,1,71,79
SLGA,average,1,72,79
SLGA,average,1,73,79
SLGA,average,1,74,79
SLGA,average,1,75,79
SLGA,average,1,76,79
SLGA,average,1,77,79
SLGA,average,1,78,79
SLGA,average,1,79,79
SLGA,average,1,80,79
GA,average,2,0,109
GA,average,2,1,109
GA,average,2,2,109
GA,average,2,3,109
GA,average,2,4,109
GA,average,2,5,109
GA,average,2,6,109
GA,average,2,7,109
GA,average,2,8,103
GA,average,2,9,103
GA,average,2,10,103
GA,average,2,11,103
GA,average,2,12,103
GA,average,2,13,103
GA,average,2,14,103
GA,average,2,15,103
GA,average,2,16,102
GA,average,2,17,102
GA,average,2,18,102
GA,average,2,19,101
GA,average,2,20,101
GA,average,2,21,101
GA,average,2,22,101
GA,average,2,23,101
GA,average,2,24,101
GA,average,2,25,101
GA,average,2,26,101
GA,average,2,27,101
GA,average,2,28,101
GA,average,2,29,101
GA,average,2,30,101
GA,average,2,31,101
GA,average,2,32,101
GA,average,2,33,101
GA,average,2,34,101
GA,average,2,35,101
GA,average,2,36,101
GA,average,2,37,101
GA,average,2,38,100
GA,average,2,39,100
GA,average,2,40,100
GA,average,2,41,100
GA,average,2,42,100
GA,average,2,43,100
GA,average,2,44,100
GA,average,2,45,100
GA,average,2,46,94
GA,average,2,47,94
GA,average,2,48,94
GA,average,2,49,94
GA,average,2,50,94
GA,average,2,51,94
GA,average,2,52,94
GA,average,2,53,94
GA,average,2,54,94
GA,average,2,55,94
GA,average,2,56,92
GA,average,2,57,92
GA,average,2,58,92
GA,average,2,59,92
GA,average,2,60,92
GA,average,2,61,92
GA,average,2,62,92
GA,average,2,63,92
GA,average,2,64,92
GA,average,2,65,92
GA,average,2,66,92
GA,average,2,67,92
GA,average,2,68,92
GA,average,2,69,92
GA,average,2,70,92
GA,average,2,71,92
GA,average,2,72,92
GA,average,2,73,92
GA,average,2,74,92
GA,average,2,75,92
GA,average,2,76,92
GA,average,2,77,92
GA,average,2,78,92
GA,average,2,79,92
GA,average,2,80,92
SLGA,average,2,0,109
SLGA,average,2,1,109
SLGA,average,2,2,109
SLGA,average,2,3,103
SLGA,average,2,4,103
SLGA,average,2,5,103
SLGA,average,2,6,103
SLGA,average,2,7,103
SLGA,average,2,8,100
SLGA,average,2,9,100
SLGA,average,2,10,100
SLGA,average,2,11,100
SLGA,average,2,12,99
SLGA,average,2,13,99
SLGA,average,2,14,94
SLGA,average,2,15,94
SLGA,average,2,16,94
SLGA,average,2,17,94
SLGA,average,2,18,94
SLGA,average,2,19,94
SLGA,average,2,20,94
SLGA,average,2,21,94
SLGA,average,2,22,94
SLGA,average,2,23,94
SLGA,average,2,24,94
SLGA,average,2,25,94
SLGA,average,2,26,94
SLGA,average,2,27,94
SLGA,average,2,28,94
SLGA,average,2,29,94
SLGA,average,2,30,94
SLGA,average,2,31,94
SLGA,average,2,32,94
SLGA,average,2,33,94
SLGA,average,2,34,94
SLGA,average,2,35,94
SLGA,average,2,36,94
SLGA,average,2,37,94
SLGA,average,2,38,94
SLGA,average,2,39,94
SLGA,average,2,40,94
SLGA,average,2,41,94
SLGA,average,2,42,94
SLGA,average,2,43,94
SLGA,average,2,44,94
SLGA,average,2,45,94
SLGA,average,2,46,94
SLGA,average,2,47,94
SLGA,average,2,48,94
SLGA,average,2,49,94
SLGA,average,2,50,94
SLGA,average,2,51,94
SLGA,average,2,52,94
SLGA,average,2,53,94
SLGA,average,2,54,94
SLGA,average,2,55,94
SLGA,average,2,56,94
SLGA,average,2,57,94
SLGA,average,2,58,94
SLGA,average,2,59,94
SLGA,average,2,60,94
SLGA,average,2,61,94
SLGA,average,2,62,94
SLGA,average,2,63,94
SLGA,average,2,64,94
SLGA,average,2,65,94
SLGA,average,2,66,94
SLGA,average,2,67,94
SLGA,average,2,68,94
SLGA,average,2,69,94
SLGA,average,2,70,94
SLGA,average,2,71,94
SLGA,average,2,72,94
SLGA,average,2,73,94
SLGA,average,2,74,94
SLGA,average,2,75,94
SLGA,average,2,76,94
SLGA,average,2,77,94
SLGA,average,2,78,94
SLGA,average,2,79,94
SLGA,average,2,80,94
GA,average,3,0,96
GA,average,3,1,96
GA,average,3,2,96
GA,average,3,3,96
GA,average,3,4,96
GA,average,3,5,96
GA,average,3,6,96
GA,average,3,7,96
GA,average,3,8,96
GA,average,3,9,96
GA,average,3,10,96
GA,average,3,11,96
GA,average,3,12,96
GA,average,3,13,96
GA,average,3,14,96
GA,average,3,15,96
GA,average,3,16,96
GA,average,3,17,96
GA,average,3,18,96
GA,average,3,19,96
GA,average,3,20,96
GA,average,3,21,96
GA,average,3,22,96
GA,average,3,23,96
GA,average,3,24,96
GA,average,3,25,96
GA,average,3,26,96
GA,average,3,27,96
GA,average,3,28,96
GA,average,3,29,96
GA,average,3,30,96
GA,average,3,31,96
GA,average,3,32,96
GA,average,3,33,96
GA,average,3,34,96
GA,average,3,35,96
GA,average,3,36,96
GA,average,3,37,96
GA,average,3,38,96
GA,average,3,39,96
GA,average,3,40,96
GA,average,3,41,96
GA,average,3,42,96
GA,average,3,43,96
GA,average,3,44,96
GA,average,3,45,96
GA,average,3,46,96
GA,average,3,47,96
GA,average,3,48,96
GA,average,3,49,96
GA,average,3,50,96
GA,average,3,51,96
GA,average,3,52,96
GA,average,3,53,96
GA,average,3,54,96
GA,average,3,55,96
GA,average,3,56,96
GA,average,3,57,96
GA,average,3,58,96
GA,average,3,59,96
GA,average,3,60,96
GA,average,3,61,96
GA,average,3,62,96
GA,average,3,63,96
GA,average,3,64,96
GA,average,3,65,96
GA,average,3,66,96
GA,average,3,67,96
GA,average,3,68,96
GA,average,3,69,96
GA,average,3,70,96
GA,average,3,71,96
GA,average,3,72,96
GA,average,3,73,96
GA,average,3,74,96
GA,average,3,75,96
GA,average,3,76,96
GA,average,3,77,96
GA,average,3,78,96
GA,average,3,79,96
GA,average,3,80,96
SLGA,average,3,0,96
SLGA,average,3,1,96
SLGA,average,3,2,96
SLGA,average,3,3,96
SLGA,average,3,4,96
SLGA,average,3,5,96
SLGA,average,3,6,96
SLGA,average,3,7,96
SLGA,average,3,8,96
SLGA,average,3,9,96
SLGA,average,3,10,96
SLGA,average,3,11,96
SLGA,average,3,12,96
SLGA,average,3,13,96
SLGA,average,3,14,96
SLGA,average,3,15,96
SLGA,average,3,16,96
SLGA,average,3,17,96
SLGA,average,3,18,96
SLGA,average,3,19,96
SLGA,average,3,20,96
SLGA,average,3,21,96
SLGA,average,3,22,96
SLGA,average,3,23,96
SLGA,average,3,24,96
SLGA,average,3,25,96
SLGA,average,3,26,96
SLGA,average,3,27,96
SLGA,average,3,28,96
SLGA,average,3,29,96
SLGA,average,3,30,96
SLGA,average,3,31,96
SLGA,average,3,32,96
SLGA,average,3,33,96
SLGA,average,3,34,96
SLGA,average,3,35,96
SLGA,average,3,36,96
SLGA,average,3,37,96
SLGA,average,3,38,96
SLGA,average,3,39,96
SLGA,average,3,40,96
SLGA,average,3,41,96
SLGA,average,3,42,96
SLGA,average,3,43,96
SLGA,average,3,44,96
SLGA,average,3,45,96
SLGA,average,3,46,96
SLGA,average,3,47,96
SLGA,average,3,48,96
SLGA,average,3,49,96
SLGA,average,3,50,96
SLGA,average,3,51,96
SLGA,average,3,52,96
SLGA,average,3,53,96
SLGA,average,3,54,96
SLGA,average,3,55,96
SLGA,average,3,56,96
SLGA,average,3,57,96
SLGA,average,3,58,96
SLGA,average,3,59,96
SLGA,average,3,60,96
SLGA,average,3,61,96
SLGA,average,3,62,96
SLGA,average,3,63,96
SLGA,average,3,64,96
SLGA,average,3,65,96
SLGA,average,3,66,96
SLGA,average,3,67,96
SLGA,average,3,68,96
SLGA,average,3,69,96
SLGA,average,3,70,96
SLGA,average,3,71,96
SLGA,average,3,72,96
SLGA,average,3,73,96
SLGA,average,3,74,96
SLGA,average,3,75,96
SLGA,average,3,76,96
SLGA,average,3,77,96
SLGA,average,3,78,96
SLGA,average,3,79,96
SLGA,average,3,80,96
GA,average,4,0,115
GA,average,4,1,115
GA,average,4,2,115
GA,average,4,3,115
GA,average,4,4,115
GA,average,4,5,115
GA,average,4,6,115
GA,average,4,7,115
GA,average,4,8,115
GA,average,4,9,115
GA,average,4,10,115
GA,average,4,11,115
GA,average,4,12,115
GA,average,4,13,115
GA,average,4,14,115
GA,average,4,15,115
GA,average,4,16,115
GA,average,4,17,115
GA,average,4,18,115
GA,average,4,19,115
GA,average,4,20,115
GA,average,4,21,115
GA,average,4,22,115
GA,average,4,23,115
GA,average,4,24,115
GA,average,4,25,115
GA,average,4,26,115
GA,average,4,27,115
GA,average,4,28,115
GA,average,4,29,115
GA,average,4,30,115
GA,average,4,31,115
GA,average,4,32,115
GA,average,4,33,115
GA,average,4,34,115
GA,average,4,35,115
GA,average,4,36,115
GA,average,4,37,115
GA,average,4,38,115
GA,average,4,39,115
GA,average,4,40,115
GA,average,4,41,115
GA,average,4,42,115
GA,average,4,43,115
GA,average,4,44,115
GA,average,4,45,115
GA,average,4,46,115
GA,average,4,47,115
GA,average,4,48,115
GA,average,4,49,115
GA,average,4,50,115
GA,average,4,51,115
GA,average,4,52,115
GA,average,4,53,115
GA,average,4,54,115
GA,average,4,55,115
GA,average,4,56,115
GA,average,4,57,115
GA,average,4,58,115
GA,average,4,59,115
GA,average,4,60,115
GA,average,4,61,115
GA,average,4,62,115
GA,average,4,63,115
GA,average,4,64,115
GA,average,4,65,115
GA,average,4,66,115
GA,average,4,67,115
GA,average,4,68,115
GA,average,4,69,115
GA,average,4,70,115
GA,average,4,71,115
GA,average,4,72,115
GA,average,4,73,115
GA,average,4,74,115
GA,average,4,75,115
GA,average,4,76,115
GA,average,4,77,115
GA,average,4,78,115
GA,average,4,79,115
GA,average,4,80,115
SLGA,average,4,0,115
SLGA,average,4,1,115
SLGA,average,4,2,115
SLGA,average,4,3,115
SLGA,average,4,4,115
SLGA,average,4,5,115
SLGA,average,4,6,115
SLGA,average,4,7,115
SLGA,average,4,8,115
SLGA,average,4,9,115
SLGA,average,4,10,115
SLGA,average,4,11,115
SLGA,average,4,12,115
SLGA,average,4,13,115
SLGA,average,4,14,115
SLGA,average,4,15,115
SLGA,average,4,16,115
SLGA,average,4,17,115
SLGA,average,4,18,115
SLGA,average,4,19,115
SLGA,average,4,20,115
SLGA,average,4,21,115
SLGA,average,4,22,115
SLGA,average,4,23,115
SLGA,average,4,24,115
SLGA,average,4,25,115
SLGA,average,4,26,115
SLGA,average,4,27,115
SLGA,average,4,28,115
SLGA,average,4,29,115
SLGA,average,4,30,115
SLGA,average,4,31,115
SLGA,average,4,32,115
SLGA,average,4,33,115
SLGA,average,4,34,115
SLGA,average,4,35,115
SLGA,average,4,36,115
SLGA,average,4,37,115
SLGA,average,4,38,115
SLGA,average,4,39,115
SLGA,average,4,40,115
SLGA,average,4,41,115
SLGA,average,4,42,115
SLGA,average,4,43,115
SLGA,average,4,44,115
SLGA,average,4,45,115
SLGA,average,4,46,115
SLGA,average,4,47,115
SLGA,average,4,48,115
SLGA,average,4,49,115
SLGA,average,4,50,115
SLGA,average,4,51,115
SLGA,average,4,52,115
SLGA,average,4,53,115
SLGA,average,4,54,115
SLGA,average,4,55,115
SLGA,average,4,56,115
SLGA,average,4,57,115
SLGA,average,4,58,115
SLGA,average,4,59,115
SLGA,average,4,60,115
SLGA,average,4,61,115
SLGA,average,4,62,115
SLGA,average,4,63,115
SLGA,average,4,64,115
SLGA,average,4,65,115
SLGA,average,4,66,115
SLGA,average,4,67,115
SLGA,average,4,68,115
SLGA,average,4,69,115
SLGA,average,4,70,115
SLGA,average,4,71,115
SLGA,average,4,72,115
SLGA,average,4,73,115
SLGA,average,4,74,115
SLGA,average,4,75,115
SLGA,average,4,76,115
SLGA,average,4,77,115
SLGA,average,4,78,115
SLGA,average,4,79,115
SLGA,average,4,80,115
GA,average,5,0,93
GA,average,5,1,93
GA,average,5,2,93
GA,average,5,3,93
GA,average,5,4,93
GA,average,5,5,93
GA,average,5,6,93
GA,average,5,7,93
GA,average,5,8,93
GA,average,5,9,93
GA,average,5,10,93
GA,average,5,11,93
GA,average,5,12,93
GA,average,5,13,93
GA,average,5,14,93
GA,average,5,15,93
GA,average,5,16,93
GA,average,5,17,93
GA,average,5,18,93
GA,average,5,19,93
GA,average,5,20,93
GA,average,5,21,93
GA,average,5,22,93
GA,average,5,23,93
GA,average,5,24,93
GA,average,5,25,93
GA,average,5,26,93
GA,average,5,27,93
GA,average,5,28,93
GA,average,5,29,93
GA,average,5,30,93
GA,average,5,31,93
GA,average,5,32,93
GA,average,5,33,93
GA,average,5,34,93
GA,average,5,35,93
GA,average,5,36,93
GA,average,5,37,93
GA,average,5,38,93
GA,average,5,39,93
GA,average,5,40,93
GA,average,5,41,93
GA,average,5,42,93
GA,average,5,43,93
GA,average,5,44,93
GA,average,5,45,93
GA,average,5,46,93
GA,average,5,47,93
GA,average,5,48,93
GA,average,5,49,93
GA,average,5,50,93
GA,average,5,51,93
GA,average,5,52,93
GA,average,5,53,93
GA,average,5,54,93
GA,average,5,55,93
GA,average,5,56,93
GA,average,5,57,93
GA,average,5,58,93
GA,average,5,59,93
GA,average,5,60,93
GA,average,5,61,93
GA,average,5,62,93
GA,average,5,63,93
GA,average,5,64,93
GA,average,5,65,93
GA,average,5,66,93
GA,average,5,67,92
GA,average,5,68,92
GA,average,5,69,92
GA,average,5,70,92
GA,average,5,71,92
GA,average,5,72,92
GA,average,5,73,92
GA,average,5,74,92
GA,average,5,75,92
GA,average,5,76,92
GA,average,5,77,92
GA,average,5,78,92
GA,average,5,79,92
GA,average,5,80,92
SLGA,average,5,0,93
SLGA,average,5,1,93
SLGA,average,5,2,93
SLGA,average,5,3,93
SLGA,average,5,4,93
SLGA,average,5,5,93
SLGA,average,5,6,93
SLGA,average,5,7,93
SLGA,average,5,8,93
SLGA,average,5,9,93
SLGA,average,5,10,93
SLGA,average,5,11,93
SLGA,average,5,12,93
SLGA,average,5,13,93
SLGA,average,5,14,93
SLGA,average,5,15,93
SLGA,average,5,16,93
SLGA,average,5,17,93
SLGA,average,5,18,93
SLGA,average,5,19,93
SLGA,average,5,20,93
SLGA,average,5,21,93
SLGA,average,5,22,93
SLGA,average,5,23,93
SLGA,average,5,24,93
SLGA,average,5,25,93
SLGA,average,5,26,93
SLGA,average,5,27,93
SLGA,average,5,28,93
SLGA,average,5,29,93
SLGA,average,5,30,93
SLGA,average,5,31,93
SLGA,average,5,32,93
SLGA,average,5,33,93
SLGA,average,5,34,93
SLGA,average,5,35,93
SLGA,average,5,36,93
SLGA,average,5,37,93
SLGA,average,5,38,93
SLGA,average,5,39,93
SLGA,average,5,40,93
SLGA,average,5,41,93
SLGA,average,5,42,93
SLGA,average,5,43,93
SLGA,average,5,44,93
SLGA,average,5,45,93
SLGA,average,5,46,93
SLGA,average,5,47,93
SLGA,average,5,48,93
SLGA,average,5,49,93
SLGA,average,5,50,93
SLGA,average,5,51,93
SLGA,average,5,52,93
SLGA,average,5,53,93
SLGA,average,5,54,93
SLGA,average,5,55,93
SLGA,average,5,56,93
SLGA,average,5,57,93
SLGA,average,5,58,93
SLGA,average,5,59,93
SLGA,average,5,60,93
SLGA,average,5,61,93
SLGA,average,5,62,93
SLGA,average,5,63,93
SLGA,average,5,64,93
SLGA,average,5,65,93
SLGA,average,5,66,93
SLGA,average,5,67,93
SLGA,average,5,68,93
SLGA,average,5,69,93
SLGA,average,5,70,93
SLGA,average,5,71,93
SLGA,average,5,72,93
SLGA,average,5,73,93
SLGA,average,5,74,93
SLGA,average,5,75,93
SLGA,average,5,76,93
SLGA,average,5,77,93
SLGA,average,5,78,93
SLGA,average,5,79,93
SLGA,average,5,80,93
GA,low_flexibility,1,0,141
GA,low_flexibility,1,1,141
GA,low_flexibility,1,2,141
GA,low_flexibility,1,3,141
GA,low_flexibility,1,4,141
GA,low_flexibility,1,5,141
GA,low_flexibility,1,6,141
GA,low_flexibility,1,7,141
GA,low_flexibility,1,8,141
GA,low_flexibility,1,9,137
GA,low_flexibility,1,10,137
GA,low_flexibility,1,11,136
GA,low_flexibility,1,12,136
GA,low_flexibility,1,13,136
GA,low_flexibility,1,14,136
GA,low_flexibility,1,15,136
GA,low_flexibility,1,16,135
GA,low_flexibility,1,17,135
GA,low_flexibility,1,18,135
GA,low_flexibility,1,19,135
GA,low_flexibility,1,20,135
GA,low_flexibility,1,21,134
GA,low_flexibility,1,22,134
GA,low_flexibility,1,23,130
GA,low_flexibility,1,24,130
GA,low_flexibility,1,25,130
GA,low_flexibility,1,26,130
GA,low_flexibility,1,27,130
GA,low_flexibility,1,28,130
GA,low_flexibility,1,29,130
GA,low_flexibility,1,30,130
GA,low_flexibility,1,31,130
GA,low_flexibility,1,32,130
GA,low_flexibility,1,33,122
GA,low_flexibility,1,34,122
GA,low_flexibility,1,35,122
GA,low_flexibility,1,36,122
GA,low_flexibility,1,37,122
GA,low_flexibility,1,38,122
GA,low_flexibility,1,39,122
GA,low_flexibility,1,40,122
GA,low_flexibility,1,41,122
GA,low_flexibility,1,42,122
GA,low_flexibility,1,43,122
GA,low_flexibility,1,44,122
GA,low_flexibility,1,45,122
GA,low_flexibility,1,46,122
GA,low_flexibility,1,47,122
GA,low_flexibility,1,48,122
GA,low_flexibility,1,49,122
GA,low_flexibility,1,50,122
GA,low_flexibility,1,51,122
GA,low_flexibility,1,52,122
GA,low_flexibility,1,53,122
GA,low_flexibility,1,54,122
GA,low_flexibility,1,55,122
GA,low_flexibility,1,56,122
GA,low_flexibility,1,57,122
GA,low_flexibility,1,58,122
GA,low_flexibility,1,59,122
GA,low_flexibility,1,60,122
GA,low_flexibility,1,61,122
GA,low_flexibility,1,62,122
GA,low_flexibility,1,63,122
GA,low_flexibility,1,64,122
GA,low_flexibility,1,65,122
GA,low_flexibility,1,66,122
GA,low_flexibility,1,67,122
GA,low_flexibility,1,68,122
GA,low_flexibility,1,69,122
GA,low_flexibility,1,70,122
GA,low_flexibility,1,71,122
GA,low_flexibility,1,72,122
GA,low_flexibility,1,73,122
GA,low_flexibility,1,74,122
GA,low_flexibility,1,75,122
GA,low_flexibility,1,76,122
GA,low_flexibility,1,77,122
GA,low_flexibility,1,78,122
GA,low_flexibility,1,79,122
GA,low_flexibility,1,80,122
SLGA,low_flexibility,1,0,141
SLGA,low_flexibility,1,1,140
SLGA,low_flexibility,1,2,140
SLGA,low_flexibility,1,3,140
SLGA,low_flexibility,1,4,140
SLGA,low_flexibility,1,5,138
SLGA,low_flexibility,1,6,132
SLGA,low_flexibility,1,7,132
SLGA,low_flexibility,1,8,132
SLGA,low_flexibility,1,9,132
SLGA,low_flexibility,1,10,132
SLGA,low_flexibility,1,11,132
SLGA,low_flexibility,1,12,132
SLGA,low_flexibility,1,13,132
SLGA,low_flexibility,1,14,129
SLGA,low_flexibility,1,15,129
SLGA,low_flexibility,1,16,129
SLGA,low_flexibility,1,17,129
SLGA,low_flexibility,1,18,129
SLGA,low_flexibility,1,19,129
SLGA,low_flexibility,1,20,129
SLGA,low_flexibility,1,21,129
SLGA,low_flexibility,1,22,129
SLGA,low_flexibility,1,23,129
SLGA,low_flexibility,1,24,129
SLGA,low_flexibility,1,25,129
SLGA,low_flexibility,1,26,129
SLGA,low_flexibility,1,27,129
SLGA,low_flexibility,1,28,129
