algorithm,instance_class,seed,num_jobs,num_machines,num_ops,valid,runtime_ms,population_size,generations,crossover_probability,mutation_probability,best_makespan,lower_bound,gap_pct,avg_utilization,min_utilization,max_utilization,critical_job
Greedy ECT,average,1,10,6,38,True,0.3,,0,,,82,51,60.784,0.6565,0.3415,0.8537,10
GA,average,1,10,6,38,True,172.021,40,80,0.85,0.15,81,51,58.824,0.6502,0.1605,0.9012,10
SLGA,average,1,10,6,38,True,170.332,40,80,,,79,51,54.902,0.692,0.3165,0.9747,10
Greedy ECT,average,2,10,6,41,True,0.212,,0,,,109,61,78.689,0.4985,0.3486,1.0,3
GA,average,2,10,6,41,True,183.94,40,80,0.85,0.15,92,61,50.82,0.6033,0.2174,0.9457,3
SLGA,average,2,10,6,41,True,173.943,40,80,,,94,61,54.098,0.6472,0.3617,0.9362,3
Greedy ECT,average,3,10,6,44,True,0.23,,0,,,96,64,50.0,0.6858,0.4583,0.9583,3
GA,average,3,10,6,44,True,187.294,40,80,0.85,0.15,96,64,50.0,0.6858,0.4583,0.9583,3
SLGA,average,3,10,6,44,True,226.317,40,80,,,96,64,50.0,0.6858,0.4583,0.9583,3
Greedy ECT,average,4,10,6,51,True,0.215,,0,,,115,84,36.905,0.758,0.6696,0.9043,1
GA,average,4,10,6,51,True,210.059,40,80,0.85,0.15,115,84,36.905,0.758,0.6696,0.9043,1
SLGA,average,4,10,6,51,True,275.032,40,80,,,115,84,36.905,0.758,0.6696,0.9043,1
Greedy ECT,average,5,10,6,45,True,0.203,,0,,,93,57,63.158,0.6272,0.4946,0.6989,7
GA,average,5,10,6,45,True,206.375,40,80,0.85,0.15,92,57,61.404,0.6938,0.5109,0.8804,1
SLGA,average,5,10,6,45,True,251.655,40,80,,,93,57,63.158,0.6272,0.4946,0.6989,7
Greedy ECT,low_flexibility,1,10,6,43,True,0.195,,0,,,141,82,71.951,0.5839,0.1064,0.8298,10
GA,low_flexibility,1,10,6,43,True,184.624,40,80,0.85,0.15,122,82,48.78,0.6776,0.3852,0.9344,7
SLGA,low_flexibility,1,10,6,43,True,176.321,40,80,,,125,82,52.439,0.6547,0.104,1.0,9
Greedy ECT,low_flexibility,2,10,6,39,True,0.156,,0,,,168,76,121.053,0.4077,0.0417,0.8452,3
GA,low_flexibility,2,10,6,39,True,171.801,40,80,0.85,0.15,142,76,86.842,0.4859,0.1127,1.0,4
SLGA,low_flexibility,2,10,6,39,True,211.392,40,80,,,142,76,86.842,0.4859,0.1127,1.0,4
Greedy ECT,low_flexibility,3,10,6,45,True,0.132,,0,,,151,75,101.333,0.4945,0.1987,0.7815,5
GA,low_flexibility,3,10,6,45,True,183.13,40,80,0.85,0.15,119,75,58.667,0.6331,0.2437,0.9496,8
SLGA,low_flexibility,3,10,6,45,True,205.863,40,80,,,122,75,62.667,0.6134,0.2377,0.9672,10
Greedy ECT,low_flexibility,4,10,6,48,True,0.169,,0,,,122,74,64.865,0.6189,0.377,0.8852,1
GA,low_flexibility,4,10,6,48,True,223.135,40,80,0.85,0.15,113,74,52.703,0.6534,0.2655,0.823,4
SLGA,low_flexibility,4,10,6,48,True,179.695,40,80,,,117,74,58.108,0.6595,0.5299,0.8632,7
Greedy ECT,low_flexibility,5,10,6,52,True,0.153,,0,,,131,94,39.362,0.7176,0.458,0.9008,9
GA,low_flexibility,5,10,6,52,True,202.509,40,80,0.85,0.15,131,94,39.362,0.7176,0.458,0.9008,9
SLGA,low_flexibility,5,10,6,52,True,255.616,40,80,,,131,94,39.362,0.7176,0.458,0.9008,9
Greedy ECT,high_flexibility,1,10,6,48,True,0.361,,0,,,72,53,35.849,0.7269,0.6528,0.8056,8
GA,high_flexibility,1,10,6,48,True,182.271,40,80,0.85,0.15,72,53,35.849,0.7269,0.6528,0.8056,8
SLGA,high_flexibility,1,10,6,48,True,188.826,40,80,,,72,53,35.849,0.7269,0.6528,0.8056,8
Greedy ECT,high_flexibility,2,10,6,46,True,0.401,,0,,,71,43,65.116,0.6244,0.4789,0.8451,2
GA,high_flexibility,2,10,6,46,True,166.574,40,80,0.85,0.15,71,43,65.116,0.6244,0.4789,0.8451,2
SLGA,high_flexibility,2,10,6,46,True,213.914,40,80,,,71,43,65.116,0.6244,0.4789,0.8451,2
Greedy ECT,high_flexibility,3,10,6,48,True,0.425,,0,,,71,47,51.064,0.6995,0.6338,0.7887,8
GA,high_flexibility,3,10,6,48,True,176.793,40,80,0.85,0.15,71,47,51.064,0.6995,0.6338,0.7887,8
SLGA,high_flexibility,3,10,6,48,True,216.198,40,80,,,71,47,51.064,0.6995,0.6338,0.7887,8
Greedy ECT,high_flexibility,4,10,6,45,True,0.428,,0,,,66,48,37.5,0.7854,0.6667,0.8939,9
GA,high_flexibility,4,10,6,45,True,172.349,40,80,0.85,0.15,66,48,37.5,0.7854,0.6667,0.8939,9
SLGA,high_flexibility,4,10,6,45,True,154.669,40,80,,,66,48,37.5,0.7854,0.6667,0.8939,9
Greedy ECT,high_flexibility,5,10,6,45,True,0.34,,0,,,70,45,55.556,0.65,0.5429,0.8143,5
GA,high_flexibility,5,10,6,45,True,158.479,40,80,0.85,0.15,70,45,55.556,0.65,0.5429,0.8143,5
SLGA,high_flexibility,5,10,6,45,True,191.682,40,80,,,70,45,55.556,0.65,0.5429,0.8143,5
Greedy ECT,bottleneck_heavy,1,10,6,44,True,0.18,,0,,,94,62,51.613,0.6826,0.5319,0.9468,10
GA,bottleneck_heavy,1,10,6,44,True,172.965,40,80,0.85,0.15,94,62,51.613,0.6826,0.5319,0.9468,10
SLGA,bottleneck_heavy,1,10,6,44,True,213.234,40,80,,,94,62,51.613,0.6826,0.5319,0.9468,10
Greedy ECT,bottleneck_heavy,2,10,6,42,True,0.332,,0,,,98,61,60.656,0.5952,0.3878,0.7755,8
GA,bottleneck_heavy,2,10,6,42,True,190.459,40,80,0.85,0.15,98,61,60.656,0.5952,0.3878,0.7755,8
SLGA,bottleneck_heavy,2,10,6,42,True,165.016,40,80,,,98,61,60.656,0.5952,0.3878,0.7755,8
Greedy ECT,bottleneck_heavy,3,10,6,45,True,0.262,,0,,,77,55,40.0,0.7359,0.6364,0.9351,2
GA,bottleneck_heavy,3,10,6,45,True,184.706,40,80,0.85,0.15,77,55,40.0,0.7359,0.6364,0.9351,2
SLGA,bottleneck_heavy,3,10,6,45,True,185.876,40,80,,,77,55,40.0,0.7359,0.6364,0.9351,2
Greedy ECT,bottleneck_heavy,4,10,6,46,True,0.274,,0,,,85,59,44.068,0.7176,0.5647,0.9529,10
