instance_class,seed,num_jobs,num_machines,num_ops,valid,runtime_ms,makespan,lower_bound,gap_pct,avg_utilization,min_utilization,max_utilization
average,1,10,6,38,True,0.138,82,49,67.3,0.657,0.341,0.854
average,2,10,6,41,True,0.137,109,61,78.7,0.498,0.349,1.0
average,3,10,6,44,True,0.149,96,56,71.4,0.686,0.458,0.958
average,4,10,6,51,True,0.152,115,64,79.7,0.758,0.67,0.904
average,5,10,6,45,True,0.14,93,54,72.2,0.627,0.495,0.699
low_flexibility,1,10,6,43,True,0.103,141,77,83.1,0.584,0.106,0.83
low_flexibility,2,10,6,39,True,0.091,168,76,121.1,0.408,0.042,0.845
low_flexibility,3,10,6,45,True,0.107,151,63,139.7,0.494,0.199,0.781
low_flexibility,4,10,6,48,True,0.115,122,62,96.8,0.619,0.377,0.885
low_flexibility,5,10,6,52,True,0.126,131,85,54.1,0.718,0.458,0.901
high_flexibility,1,10,6,48,True,0.263,72,53,35.8,0.727,0.653,0.806
high_flexibility,2,10,6,46,True,0.256,71,40,77.5,0.624,0.479,0.845
high_flexibility,3,10,6,48,True,0.281,71,40,77.5,0.7,0.634,0.789
high_flexibility,4,10,6,45,True,0.272,66,40,65.0,0.785,0.667,0.894
high_flexibility,5,10,6,45,True,0.241,70,41,70.7,0.65,0.543,0.814
bottleneck_heavy,1,10,6,44,True,0.141,94,54,74.1,0.683,0.532,0.947
bottleneck_heavy,2,10,6,42,True,0.129,98,61,60.7,0.595,0.388,0.776
bottleneck_heavy,3,10,6,45,True,0.176,77,46,67.4,0.736,0.636,0.935
bottleneck_heavy,4,10,6,46,True,0.172,85,52,63.5,0.718,0.565,0.953
bottleneck_heavy,5,10,6,45,True,0.151,101,53,90.6,0.617,0.317,0.802
balanced,1,10,6,45,True,0.136,118,59,100.0,0.626,0.508,0.831
balanced,2,10,6,35,True,0.106,90,61,47.5,0.644,0.544,0.878
balanced,3,10,6,46,True,0.135,129,60,115.0,0.584,0.302,0.829
balanced,4,10,6,51,True,0.153,122,61,100.0,0.699,0.59,0.836
balanced,5,10,6,45,True,0.149,98,59,66.1,0.748,0.684,0.806
high_variance,1,10,6,45,True,0.143,299,167,79.0,0.623,0.441,0.913
high_variance,2,10,6,35,True,0.102,346,181,91.2,0.421,0.254,0.783
high_variance,3,10,6,46,True,0.142,350,219,59.8,0.569,0.397,0.88
high_variance,4,10,6,51,True,0.16,399,202,97.5,0.67,0.511,0.827
high_variance,5,10,6,45,True,0.142,329,170,93.5,0.511,0.383,0.705
machine_advantage,1,10,6,44,True,0.185,73,40,82.5,0.717,0.521,0.836
machine_advantage,2,10,6,38,True,0.144,75,60,25.0,0.564,0.387,0.853
machine_advantage,3,10,6,42,True,0.14,93,52,78.8,0.543,0.419,0.753
machine_advantage,4,10,6,51,True,0.196,78,40,95.0,0.771,0.603,0.91
machine_advantage,5,10,6,52,True,0.19,113,64,76.6,0.587,0.389,0.814
hard,1,10,6,41,True,0.194,153,104,47.1,0.647,0.425,0.935
hard,2,10,6,38,True,0.191,150,99,51.5,0.7,0.587,0.913
hard,3,10,6,42,True,0.194,148,95,55.8,0.685,0.595,0.784
hard,4,10,6,45,True,0.194,196,104,88.5,0.631,0.531,0.796
hard,5,10,6,45,True,0.231,143,73,95.9,0.73,0.657,0.818
extreme,1,10,6,43,True,0.249,304,158,92.4,0.599,0.092,0.862
extreme,2,10,6,43,True,0.242,289,243,18.9,0.596,0.363,0.737
extreme,3,10,6,49,True,0.294,321,217,47.9,0.709,0.623,0.866
extreme,4,10,6,45,True,0.248,354,204,73.5,0.544,0.282,0.927
extreme,5,10,6,48,True,0.256,556,402,38.3,0.391,0.218,0.653
